Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C12, C13, C14, C18, C9",C1206,7,1uF,C1848
"C16, C17",C1206,2,4.7uF,C1872
"C4, C7",C1206,2,10uF,C1849
"C5, C6, C8",C1206,3,100nF,C1945
"D1, D2, D3",SOD-123_L2.8-W1.8-LS3.7-RD,3,shottky,C18863
L2,IND-SMD_L4.0-W4.0,1,47uF,C76869
LED1,LED1206-R-RD_RED,1,RED LED,C49018
"R10, R11, R12",R1206,3,220Ohm,C17957
"R13, R4, R5, R6, R7, R8, R9",R1206,7,5.1k,C26033
R14,R1206,1,2.2R,C17947
R3,R1206,1,1MR,C17927
"U1, U8",SW-SMD_4P-L5.2-W5.2-P3.70-LS6.5,2,4*4*1_7,C10852
"U10, U9",SOT-23-LDO,2,NPN,C8533
U11,FPC-SMD_24P-P0.50_05A20H24P,1,05A20H24P,C5362175
U3,SOP-16_L10.0-W3.9-P1.27-LS6.0-BL,1,CH340C_USB,C7464026
U4,SOT-23-LDO,1,N-MOS,C2588
U5,WIFIM-SMD_ESP-12F-ESP8266MOD,1,ESP-12F(ESP8266MOD),C82891
U6,USB-C_SMD-TYPE-C-31-M-12_1,1,TYPE-C,C165948
U7,SOT-23-LDO,1,LDO,C5446
