Designator,Mid X,Mid Y,Rotation,Layer
C10,78.242583,-35.862382,0.0,bottom
C11,78.25,-38.162382,0.0,bottom
C12,78.25,-40.45,0.0,bottom
C13,87.342583,-32.75,0.0,top
C14,78.242583,-42.762382,0.0,bottom
C16,87.335166,-30.5,180.0,top
C17,92.5,-28.55,0.0,top
C18,81.278791,-28.65,0.0,top
C4,83.15,-33.5,270.0,top
C5,85.910992,-38.002514,90.0,top
C6,98.706001,-38.002514,270.0,top
C7,83.15,-42.542583,90.0,top
C8,98.1,-30.4,0.0,top
C9,78.25,-33.562382,0.0,bottom
D1,86.178791,-28.6,0.0,top
D2,92.185166,-30.75,180.0,top
D3,92.192583,-32.7,0.0,top
L2,89.678791,-25.2,180.0,top
LED1,98.585985,-51.321341,90.0,top
R10,98.6,-46.321209,90.0,top
R11,83.55,-47.75,0.0,top
R12,83.55,-51.9,0.0,top
R13,93.868504,-44.55,270.0,top
R14,81.278791,-26.4,0.0,top
R3,81.278791,-24.15,0.0,top
R4,90.868504,-44.55,270.0,top
R5,104.2,-25.25,90.0,top
R6,106.55,-25.25,90.0,top
R7,108.9,-25.25,270.0,top
R8,111.25,-25.25,270.0,top
R9,113.6,-25.25,270.0,top
U1,103.95,-50.55,180.0,top
U10,79.29889,-51.912033,180.0,top
U11,78.988469,-38.05,270.0,top
U3,92.318504,-38.05,270.0,top
U4,85.37111,-25.263475,0.0,top
U5,109.55,-37.972777,180.0,top
U6,92.093383,-50.450863,0.0,top
U7,83.15,-37.992583,90.0,top
U8,112.5,-50.55,180.0,top
U9,79.29889,-47.707207,180.0,top
